pruning_iteration,sparsity_pct,weights_remaining_pct,test_accuracy,run_type,arch,seed
0,0.0,100.0,72.54,winning_ticket,Conv-2,1
1,19.9103137136735,80.0896862863265,72.14,winning_ticket,Conv-2,1
2,35.847544008452005,64.152455991548,71.94,winning_ticket,Conv-2,1
3,48.60539150037945,51.39460849962055,71.3,winning_ticket,Conv-2,1
4,58.81894223472166,41.18105776527833,69.92,winning_ticket,Conv-2,1
5,66.99635804949185,33.00364195050816,70.42,winning_ticket,Conv-2,1
6,73.54414981474041,26.45585018525959,68.46,winning_ticket,Conv-2,1
7,78.7876610791185,21.212338920881507,66.95,winning_ticket,Conv-2,1
8,82.98727363361755,17.012726366382452,67.25,winning_ticket,Conv-2,1
9,86.3512650104906,13.648734989509398,64.82,winning_ticket,Conv-2,1
10,89.04629443626028,10.953705563739714,60.09,winning_ticket,Conv-2,1
11,91.20579624421529,8.79420375578471,61.19,winning_ticket,Conv-2,1
12,92.93653650134667,7.063463498653334,56.52,winning_ticket,Conv-2,1
13,94.32398386232758,5.676016137672425,57.03,winning_ticket,Conv-2,1
14,95.43644814963618,4.563551850363822,57.14,winning_ticket,Conv-2,1
15,96.32870742377573,3.6712925762242756,54.4,winning_ticket,Conv-2,1
16,97.04456553278872,2.955434467211285,46.75,winning_ticket,Conv-2,1
17,97.61906090501911,2.380939094980879,36.55,winning_ticket,Conv-2,1
18,98.08034983557282,1.919650164427183,38.94,winning_ticket,Conv-2,1
19,98.45084575837389,1.549154241626118,34.19,winning_ticket,Conv-2,1
20,98.7485910227222,1.2514089772778,30.19,winning_ticket,Conv-2,1
