pruning_iteration,sparsity_pct,weights_remaining_pct,test_accuracy,run_type,arch,seed
0,0.0,100.0,71.81,winning_ticket,Conv-2,5
1,19.9103137136735,80.0896862863265,72.13,winning_ticket,Conv-2,5
2,35.847544008452005,64.152455991548,71.92,winning_ticket,Conv-2,5
3,48.60539150037945,51.39460849962055,71.48,winning_ticket,Conv-2,5
4,58.81894223472166,41.18105776527833,70.8,winning_ticket,Conv-2,5
5,66.99635804949185,33.00364195050816,69.95,winning_ticket,Conv-2,5
6,73.54414981474041,26.45585018525959,69.16,winning_ticket,Conv-2,5
7,78.7876610791185,21.212338920881507,67.67,winning_ticket,Conv-2,5
8,82.98727363361755,17.012726366382452,66.01,winning_ticket,Conv-2,5
9,86.3512650104906,13.648734989509398,66.24,winning_ticket,Conv-2,5
10,89.04629443626028,10.953705563739714,63.4,winning_ticket,Conv-2,5
11,91.20579624421529,8.79420375578471,64.37,winning_ticket,Conv-2,5
12,92.93653650134667,7.063463498653334,63.92,winning_ticket,Conv-2,5
13,94.32393736142731,5.676062638572683,62.24,winning_ticket,Conv-2,5
14,95.43642489918605,4.563575100813952,62.19,winning_ticket,Conv-2,5
15,96.3286841733256,3.671315826674405,60.58,winning_ticket,Conv-2,5
16,97.04454228233858,2.955457717661414,56.47,winning_ticket,Conv-2,5
17,97.61906090501911,2.380939094980879,51.03,winning_ticket,Conv-2,5
18,98.08034983557282,1.919650164427183,49.28,winning_ticket,Conv-2,5
19,98.45086900882401,1.5491309911759892,48.71,winning_ticket,Conv-2,5
20,98.74861427317234,1.2513857268276714,46.32,winning_ticket,Conv-2,5
