pruning_iteration,sparsity_pct,weights_remaining_pct,test_accuracy,run_type,arch,seed
0,0.0,100.0,80.85,winning_ticket,Conv-6,4
1,17.46943194361892,82.53056805638109,81.1,winning_ticket,Conv-6,4
2,31.824566244940698,68.1754337550593,81.5,winning_ticket,Conv-6,4
3,43.63125689904051,56.36874310095949,82.16,winning_ticket,Conv-6,4
4,53.350899351843985,46.64910064815601,82.19,winning_ticket,Conv-6,4
5,61.35984510769579,38.64015489230421,81.99,winning_ticket,Conv-6,4
6,67.96510146896493,32.03489853103507,82.48,winning_ticket,Conv-6,4
7,73.41777582010133,26.582224179898674,81.77,winning_ticket,Conv-6,4
8,77.92311461605955,22.076885383940446,81.67,winning_ticket,Conv-6,4
9,81.64903873368996,18.35096126631004,79.72,winning_ticket,Conv-6,4
10,84.73326363533441,15.266736364665592,79.64,winning_ticket,Conv-6,4
11,87.28851787382186,12.711482126178145,79.27,winning_ticket,Conv-6,4
12,89.40745202513374,10.592547974866266,77.92,winning_ticket,Conv-6,4
13,91.1661766578925,8.833823342107499,75.81,winning_ticket,Conv-6,4
14,92.62709270895247,7.372907291047522,75.46,winning_ticket,Conv-6,4
15,93.84176608360929,6.158233916390705,73.69,winning_ticket,Conv-6,4
16,94.85251974186974,5.147480258130254,72.3,winning_ticket,Conv-6,4
17,95.69424690781466,4.305753092185333,70.49,winning_ticket,Conv-6,4
18,96.39582625739436,3.604173742605644,70.07,winning_ticket,Conv-6,4
19,96.98105063541932,3.01894936458068,69.37,winning_ticket,Conv-6,4
20,97.46955577255102,2.5304442274489825,65.1,winning_ticket,Conv-6,4
