pruning_iteration,sparsity_pct,weights_remaining_pct,test_accuracy,run_type,arch,seed
0,0.0,100.0,82.74,winning_ticket,Conv-6,4
1,17.46943194361892,82.53056805638109,83.16,winning_ticket,Conv-6,4
2,31.824566244940698,68.1754337550593,83.45,winning_ticket,Conv-6,4
3,43.63125689904051,56.36874310095949,83.03,winning_ticket,Conv-6,4
4,53.350899351843985,46.64910064815601,82.3,winning_ticket,Conv-6,4
5,61.35984510769579,38.64015489230421,81.48,winning_ticket,Conv-6,4
6,67.96510146896493,32.03489853103507,79.02,winning_ticket,Conv-6,4
7,73.41777582010133,26.582224179898674,77.53,winning_ticket,Conv-6,4
8,77.92315884067816,22.07684115932184,77.42,winning_ticket,Conv-6,4
9,81.64908295830857,18.350917041691435,76.12,winning_ticket,Conv-6,4
10,84.73326363533441,15.266736364665592,76.71,winning_ticket,Conv-6,4
11,87.28851787382186,12.711482126178145,75.18,winning_ticket,Conv-6,4
12,89.40745202513374,10.592547974866266,74.08,winning_ticket,Conv-6,4
13,91.1661766578925,8.833823342107499,72.97,winning_ticket,Conv-6,4
14,92.62709270895247,7.372907291047522,71.61,winning_ticket,Conv-6,4
15,93.84176608360929,6.158233916390705,69.62,winning_ticket,Conv-6,4
16,94.85251974186974,5.147480258130254,65.9,winning_ticket,Conv-6,4
17,95.69424690781466,4.305753092185333,61.63,winning_ticket,Conv-6,4
18,96.39582625739436,3.604173742605644,57.03,winning_ticket,Conv-6,4
19,96.98105063541932,3.01894936458068,53.11,winning_ticket,Conv-6,4
20,97.46955577255102,2.5304442274489825,47.37,winning_ticket,Conv-6,4
