pruning_iteration,sparsity_pct,weights_remaining_pct,test_accuracy,run_type,arch,seed
0,0.0,100.0,72.93,random_reinit,Conv-2,2
1,19.9103137136735,80.0896862863265,72.75,random_reinit,Conv-2,2
2,35.847544008452005,64.152455991548,72.77,random_reinit,Conv-2,2
3,48.60539150037945,51.39460849962055,72.16,random_reinit,Conv-2,2
4,58.81894223472166,41.18105776527833,72.27,random_reinit,Conv-2,2
5,66.99635804949185,33.00364195050816,71.27,random_reinit,Conv-2,2
6,73.54414981474041,26.45585018525959,70.58,random_reinit,Conv-2,2
7,78.7876610791185,21.212338920881507,70.47,random_reinit,Conv-2,2
8,82.98727363361755,17.012726366382452,68.9,random_reinit,Conv-2,2
9,86.3512650104906,13.648734989509398,67.54,random_reinit,Conv-2,2
10,89.04629443626028,10.953705563739714,66.33,random_reinit,Conv-2,2
11,91.20579624421529,8.79420375578471,64.89,random_reinit,Conv-2,2
12,92.93653650134667,7.063463498653334,62.5,random_reinit,Conv-2,2
13,94.32393736142731,5.676062638572683,59.71,random_reinit,Conv-2,2
14,95.43640164873592,4.56359835126408,58.49,random_reinit,Conv-2,2
15,96.32866092287546,3.671339077124533,54.25,random_reinit,Conv-2,2
16,97.04451903188846,2.9554809681115426,51.4,random_reinit,Conv-2,2
17,97.619037654569,2.3809623454310076,51.83,random_reinit,Conv-2,2
18,98.08032658512269,1.9196734148773118,42.57,random_reinit,Conv-2,2
19,98.45084575837389,1.549154241626118,44.26,random_reinit,Conv-2,2
20,98.7485910227222,1.2514089772778,38.21,random_reinit,Conv-2,2
