pruning_iteration,sparsity_pct,weights_remaining_pct,test_accuracy,run_type,arch,seed
0,0.0,100.0,72.68,winning_ticket,Conv-2,3
1,19.91033696412362,80.08966303587638,72.51,winning_ticket,Conv-2,3
2,35.84756725890214,64.15243274109787,72.26,winning_ticket,Conv-2,3
3,48.60541475082958,51.39458524917042,71.75,winning_ticket,Conv-2,3
4,58.818965485171795,41.181034514828205,70.93,winning_ticket,Conv-2,3
5,66.99638129994196,33.003618700058034,70.76,winning_ticket,Conv-2,3
6,73.54417306519055,26.45582693480946,68.99,winning_ticket,Conv-2,3
7,78.78768432956862,21.21231567043138,67.57,winning_ticket,Conv-2,3
8,82.98729688406767,17.01270311593232,66.97,winning_ticket,Conv-2,3
9,86.35128826094073,13.64871173905927,64.72,winning_ticket,Conv-2,3
10,89.04631768671042,10.953682313289585,63.32,winning_ticket,Conv-2,3
11,91.20581949466542,8.794180505334584,61.41,winning_ticket,Conv-2,3
12,92.93653650134667,7.063463498653334,60.6,winning_ticket,Conv-2,3
13,94.32393736142731,5.676062638572683,59.9,winning_ticket,Conv-2,3
14,95.43640164873592,4.56359835126408,57.74,winning_ticket,Conv-2,3
15,96.32866092287546,3.671339077124533,56.95,winning_ticket,Conv-2,3
16,97.04454228233858,2.955457717661414,55.48,winning_ticket,Conv-2,3
17,97.61906090501911,2.380939094980879,48.44,winning_ticket,Conv-2,3
18,98.08034983557282,1.919650164427183,45.18,winning_ticket,Conv-2,3
19,98.45084575837389,1.549154241626118,42.96,winning_ticket,Conv-2,3
20,98.7485910227222,1.2514089772778,36.01,winning_ticket,Conv-2,3
