pruning_iteration,sparsity_pct,weights_remaining_pct,test_accuracy,run_type,arch,seed
0,0.0,100.0,77.11,random_reinit,Conv-4,5
1,18.9288848275316,81.0711151724684,76.88,random_reinit,Conv-4,5
2,34.17912564989047,65.82087435010952,75.91,random_reinit,Conv-4,5
3,46.47570498271357,53.52429501728643,75.75,random_reinit,Conv-4,5
4,56.399771713599534,43.600228286400466,75.08,random_reinit,Conv-4,5
5,64.41717690216674,35.58282309783326,73.74,random_reinit,Conv-4,5
6,70.90131891478187,29.098681085218125,72.66,random_reinit,Conv-4,5
7,76.15186488875987,23.848135111240136,72.91,random_reinit,Conv-4,5
8,80.40930728932992,19.59069271067008,71.81,random_reinit,Conv-4,5
9,83.86651018711568,16.133489812884328,71.49,random_reinit,Conv-4,5
10,86.67835864717215,13.321641352827848,71.76,random_reinit,Conv-4,5
11,88.96934628275844,11.030653717241561,69.22,random_reinit,Conv-4,5
12,90.8394721041936,9.160527895806393,71.19,random_reinit,Conv-4,5
13,92.36918892349107,7.630811076508934,69.54,random_reinit,Conv-4,5
14,93.62319713124488,6.376802868755113,68.1,random_reinit,Conv-4,5
15,94.65370239634741,5.346297603652583,66.76,random_reinit,Conv-4,5
16,95.50255997466417,4.497440025335832,67.24,random_reinit,Conv-4,5
17,96.2037076746457,3.7962923253543055,64.39,random_reinit,Conv-4,5
18,96.78452666860204,3.2154733313979578,62.91,random_reinit,Conv-4,5
19,97.26699612045077,2.733003879549233,60.85,random_reinit,Conv-4,5
20,97.6690127602861,2.330987239713916,60.32,random_reinit,Conv-4,5
