pruning_iteration,sparsity_pct,weights_remaining_pct,test_accuracy,run_type,arch,seed
0,0.0,100.0,77.11,winning_ticket,Conv-4,5
1,18.9288848275316,81.0711151724684,77.74,winning_ticket,Conv-4,5
2,34.17912564989047,65.82087435010952,77.79,winning_ticket,Conv-4,5
3,46.47570498271357,53.52429501728643,78.52,winning_ticket,Conv-4,5
4,56.39973047689425,43.60026952310575,78.22,winning_ticket,Conv-4,5
5,64.41713566546146,35.58286433453854,78.92,winning_ticket,Conv-4,5
6,70.9012776780766,29.09872232192341,79.03,winning_ticket,Conv-4,5
7,76.15182365205457,23.848176347945422,79.05,winning_ticket,Conv-4,5
8,80.40926605262464,19.590733947375366,78.83,winning_ticket,Conv-4,5
9,83.8664689504104,16.13353104958961,78.41,winning_ticket,Conv-4,5
10,86.67831741046686,13.321682589533134,78.75,winning_ticket,Conv-4,5
11,88.96930504605315,11.030694953946847,78.12,winning_ticket,Conv-4,5
12,90.8394721041936,9.160527895806393,78.08,winning_ticket,Conv-4,5
13,92.36918892349107,7.630811076508934,77.8,winning_ticket,Conv-4,5
14,93.62319713124488,6.376802868755113,77.45,winning_ticket,Conv-4,5
15,94.65370239634741,5.346297603652583,77.31,winning_ticket,Conv-4,5
16,95.50255997466417,4.497440025335832,76.75,winning_ticket,Conv-4,5
17,96.2037076746457,3.7962923253543055,76.91,winning_ticket,Conv-4,5
18,96.78452666860204,3.2154733313979578,76.33,winning_ticket,Conv-4,5
19,97.26699612045077,2.733003879549233,76.29,winning_ticket,Conv-4,5
20,97.6690127602861,2.330987239713916,75.79,winning_ticket,Conv-4,5
