pruning_iteration,sparsity_pct,weights_remaining_pct,test_accuracy,run_type,arch,seed
0,0.0,100.0,71.81,random_reinit,Conv-2,5
1,19.9103137136735,80.0896862863265,72.85,random_reinit,Conv-2,5
2,35.847544008452005,64.152455991548,72.45,random_reinit,Conv-2,5
3,48.60539150037945,51.39460849962055,71.97,random_reinit,Conv-2,5
4,58.81894223472166,41.18105776527833,72.14,random_reinit,Conv-2,5
5,66.99635804949185,33.00364195050816,71.66,random_reinit,Conv-2,5
6,73.54414981474041,26.45585018525959,70.98,random_reinit,Conv-2,5
7,78.7876610791185,21.212338920881507,70.15,random_reinit,Conv-2,5
8,82.98727363361755,17.012726366382452,68.18,random_reinit,Conv-2,5
9,86.3512650104906,13.648734989509398,68.19,random_reinit,Conv-2,5
10,89.04629443626028,10.953705563739714,66.49,random_reinit,Conv-2,5
11,91.20579624421529,8.79420375578471,64.49,random_reinit,Conv-2,5
12,92.93653650134667,7.063463498653334,62.74,random_reinit,Conv-2,5
13,94.32393736142731,5.676062638572683,60.98,random_reinit,Conv-2,5
14,95.43640164873592,4.56359835126408,57.75,random_reinit,Conv-2,5
15,96.32866092287546,3.671339077124533,55.76,random_reinit,Conv-2,5
16,97.04451903188846,2.9554809681115426,54.16,random_reinit,Conv-2,5
17,97.619037654569,2.3809623454310076,50.36,random_reinit,Conv-2,5
18,98.08032658512269,1.9196734148773118,48.01,random_reinit,Conv-2,5
19,98.45084575837389,1.549154241626118,40.47,random_reinit,Conv-2,5
20,98.7485910227222,1.2514089772778,37.19,random_reinit,Conv-2,5
