pruning_iteration,sparsity_pct,weights_remaining_pct,test_accuracy,run_type,arch,seed
0,0.0,100.0,71.33,random_reinit,Conv-2,3
1,19.9103137136735,80.0896862863265,71.47,random_reinit,Conv-2,3
2,35.847544008452005,64.152455991548,70.23,random_reinit,Conv-2,3
3,48.60539150037945,51.39460849962055,70.04,random_reinit,Conv-2,3
4,58.81894223472166,41.18105776527833,70.42,random_reinit,Conv-2,3
5,66.99635804949185,33.00364195050816,69.57,random_reinit,Conv-2,3
6,73.54414981474041,26.45585018525959,69.14,random_reinit,Conv-2,3
7,78.7876610791185,21.212338920881507,67.96,random_reinit,Conv-2,3
8,82.98727363361755,17.012726366382452,67.69,random_reinit,Conv-2,3
9,86.3512650104906,13.648734989509398,66.73,random_reinit,Conv-2,3
10,89.04629443626028,10.953705563739714,66.08,random_reinit,Conv-2,3
11,91.20579624421529,8.79420375578471,64.83,random_reinit,Conv-2,3
12,92.93653650134667,7.063463498653334,62.18,random_reinit,Conv-2,3
13,94.32393736142731,5.676062638572683,60.98,random_reinit,Conv-2,3
14,95.43640164873592,4.56359835126408,61.31,random_reinit,Conv-2,3
15,96.32866092287546,3.671339077124533,59.99,random_reinit,Conv-2,3
16,97.04451903188846,2.9554809681115426,56.27,random_reinit,Conv-2,3
17,97.619037654569,2.3809623454310076,56.36,random_reinit,Conv-2,3
18,98.08032658512269,1.9196734148773118,55.45,random_reinit,Conv-2,3
19,98.45084575837389,1.549154241626118,52.59,random_reinit,Conv-2,3
20,98.7485910227222,1.2514089772778,50.77,random_reinit,Conv-2,3
