pruning_iteration,sparsity_pct,weights_remaining_pct,test_accuracy,run_type,arch,seed
0,0.0,100.0,82.49,random_reinit,Conv-6,5
1,17.46943194361892,82.53056805638109,82.66,random_reinit,Conv-6,5
2,31.824566244940698,68.1754337550593,82.92,random_reinit,Conv-6,5
3,43.63125689904051,56.36874310095949,81.18,random_reinit,Conv-6,5
4,53.350899351843985,46.64910064815601,80.81,random_reinit,Conv-6,5
5,61.35984510769579,38.64015489230421,78.87,random_reinit,Conv-6,5
6,67.96510146896493,32.03489853103507,77.7,random_reinit,Conv-6,5
7,73.41777582010133,26.582224179898674,77.29,random_reinit,Conv-6,5
8,77.92311461605955,22.076885383940446,74.45,random_reinit,Conv-6,5
9,81.64903873368996,18.35096126631004,72.51,random_reinit,Conv-6,5
10,84.73326363533441,15.266736364665592,69.14,random_reinit,Conv-6,5
11,87.28851787382186,12.711482126178145,66.51,random_reinit,Conv-6,5
12,89.40745202513374,10.592547974866266,63.15,random_reinit,Conv-6,5
13,91.1661766578925,8.833823342107499,57.36,random_reinit,Conv-6,5
14,92.62709270895247,7.372907291047522,53.68,random_reinit,Conv-6,5
15,93.8417218589907,6.158278141009312,51.54,random_reinit,Conv-6,5
16,94.85247551725114,5.147524482748861,49.22,random_reinit,Conv-6,5
17,95.69420268319607,4.3057973168039405,47.9,random_reinit,Conv-6,5
18,96.39578203277574,3.6042179672242507,44.34,random_reinit,Conv-6,5
19,96.98100641080072,3.0189935891992867,37.15,random_reinit,Conv-6,5
20,97.46951154793241,2.5304884520675897,32.3,random_reinit,Conv-6,5
