pruning_iteration,sparsity_pct,weights_remaining_pct,test_accuracy,run_type,arch,seed
0,0.0,100.0,80.99,random_reinit,Conv-6,1
1,17.46943194361892,82.53056805638109,80.11,random_reinit,Conv-6,1
2,31.824566244940698,68.1754337550593,79.25,random_reinit,Conv-6,1
3,43.63125689904051,56.36874310095949,78.21,random_reinit,Conv-6,1
4,53.350899351843985,46.64910064815601,77.51,random_reinit,Conv-6,1
5,61.35984510769579,38.64015489230421,74.89,random_reinit,Conv-6,1
6,67.96510146896493,32.03489853103507,73.88,random_reinit,Conv-6,1
7,73.41777582010133,26.582224179898674,72.05,random_reinit,Conv-6,1
8,77.92311461605955,22.076885383940446,76.41,random_reinit,Conv-6,1
9,81.64903873368996,18.35096126631004,74.09,random_reinit,Conv-6,1
10,84.73326363533441,15.266736364665592,70.91,random_reinit,Conv-6,1
11,87.28851787382186,12.711482126178145,72.73,random_reinit,Conv-6,1
12,89.40745202513374,10.592547974866266,71.51,random_reinit,Conv-6,1
13,91.1661766578925,8.833823342107499,68.74,random_reinit,Conv-6,1
14,92.62709270895247,7.372907291047522,69.38,random_reinit,Conv-6,1
15,93.8417218589907,6.158278141009312,67.27,random_reinit,Conv-6,1
16,94.85247551725114,5.147524482748861,66.87,random_reinit,Conv-6,1
17,95.69420268319607,4.3057973168039405,65.06,random_reinit,Conv-6,1
18,96.39578203277574,3.6042179672242507,56.86,random_reinit,Conv-6,1
19,96.98100641080072,3.0189935891992867,57.28,random_reinit,Conv-6,1
20,97.46951154793241,2.5304884520675897,61.09,random_reinit,Conv-6,1
