pruning_iteration,sparsity_pct,weights_remaining_pct,test_accuracy,run_type,arch,seed
0,0.0,100.0,72.54,random_reinit,Conv-2,1
1,19.9103137136735,80.0896862863265,73.1,random_reinit,Conv-2,1
2,35.847544008452005,64.152455991548,72.49,random_reinit,Conv-2,1
3,48.60541475082958,51.39458524917042,72.78,random_reinit,Conv-2,1
4,58.818965485171795,41.181034514828205,71.94,random_reinit,Conv-2,1
5,66.99635804949185,33.00364195050816,71.61,random_reinit,Conv-2,1
6,73.54414981474041,26.45585018525959,70.94,random_reinit,Conv-2,1
7,78.7876610791185,21.212338920881507,70.37,random_reinit,Conv-2,1
8,82.98727363361755,17.012726366382452,69.42,random_reinit,Conv-2,1
9,86.3512650104906,13.648734989509398,68.64,random_reinit,Conv-2,1
10,89.04629443626028,10.953705563739714,66.11,random_reinit,Conv-2,1
11,91.20579624421529,8.79420375578471,63.62,random_reinit,Conv-2,1
12,92.93653650134667,7.063463498653334,61.55,random_reinit,Conv-2,1
13,94.32393736142731,5.676062638572683,59.97,random_reinit,Conv-2,1
14,95.43640164873592,4.56359835126408,57.58,random_reinit,Conv-2,1
15,96.32866092287546,3.671339077124533,54.93,random_reinit,Conv-2,1
16,97.04451903188846,2.9554809681115426,51.49,random_reinit,Conv-2,1
17,97.619037654569,2.3809623454310076,51.23,random_reinit,Conv-2,1
18,98.08032658512269,1.9196734148773118,47.04,random_reinit,Conv-2,1
19,98.45084575837389,1.549154241626118,44.36,random_reinit,Conv-2,1
20,98.7485910227222,1.2514089772778,41.22,random_reinit,Conv-2,1
