pruning_iteration,sparsity_pct,weights_remaining_pct,test_accuracy,run_type,arch,seed
0,0.0,100.0,83.17,random_reinit,Conv-6,3
1,17.46943194361892,82.53056805638109,82.39,random_reinit,Conv-6,3
2,31.824566244940698,68.1754337550593,82.12,random_reinit,Conv-6,3
3,43.63125689904051,56.36874310095949,81.75,random_reinit,Conv-6,3
4,53.350899351843985,46.64910064815601,80.71,random_reinit,Conv-6,3
5,61.35984510769579,38.64015489230421,78.74,random_reinit,Conv-6,3
6,67.96510146896493,32.03489853103507,78.19,random_reinit,Conv-6,3
7,73.41777582010133,26.582224179898674,77.05,random_reinit,Conv-6,3
8,77.92311461605955,22.076885383940446,74.28,random_reinit,Conv-6,3
9,81.64903873368996,18.35096126631004,72.09,random_reinit,Conv-6,3
10,84.73326363533441,15.266736364665592,69.37,random_reinit,Conv-6,3
11,87.28851787382186,12.711482126178145,66.49,random_reinit,Conv-6,3
12,89.40745202513374,10.592547974866266,61.84,random_reinit,Conv-6,3
13,91.1661766578925,8.833823342107499,59.03,random_reinit,Conv-6,3
14,92.62709270895247,7.372907291047522,56.23,random_reinit,Conv-6,3
15,93.8417218589907,6.158278141009312,51.85,random_reinit,Conv-6,3
16,94.85247551725114,5.147524482748861,48.53,random_reinit,Conv-6,3
17,95.69420268319607,4.3057973168039405,42.86,random_reinit,Conv-6,3
18,96.39578203277574,3.6042179672242507,35.74,random_reinit,Conv-6,3
19,96.98100641080072,3.0189935891992867,37.27,random_reinit,Conv-6,3
20,97.46951154793241,2.5304884520675897,30.72,random_reinit,Conv-6,3
