pruning_iteration,sparsity_pct,weights_remaining_pct,test_accuracy,run_type,arch,seed
0,0.0,100.0,82.74,random_reinit,Conv-6,4
1,17.46943194361892,82.53056805638109,82.5,random_reinit,Conv-6,4
2,31.824566244940698,68.1754337550593,82.57,random_reinit,Conv-6,4
3,43.63130112365911,56.36869887634089,80.68,random_reinit,Conv-6,4
4,53.3509435764626,46.6490564235374,80.86,random_reinit,Conv-6,4
5,61.35984510769579,38.64015489230421,79.23,random_reinit,Conv-6,4
6,67.96510146896493,32.03489853103507,78.3,random_reinit,Conv-6,4
7,73.41777582010133,26.582224179898674,76.85,random_reinit,Conv-6,4
8,77.92311461605955,22.076885383940446,74.27,random_reinit,Conv-6,4
9,81.64903873368996,18.35096126631004,73.04,random_reinit,Conv-6,4
10,84.73326363533441,15.266736364665592,70.17,random_reinit,Conv-6,4
11,87.28851787382186,12.711482126178145,66.45,random_reinit,Conv-6,4
12,89.40745202513374,10.592547974866266,62.05,random_reinit,Conv-6,4
13,91.1661766578925,8.833823342107499,60.47,random_reinit,Conv-6,4
14,92.62709270895247,7.372907291047522,54.66,random_reinit,Conv-6,4
15,93.8417218589907,6.158278141009312,53.26,random_reinit,Conv-6,4
16,94.85247551725114,5.147524482748861,43.79,random_reinit,Conv-6,4
17,95.69420268319607,4.3057973168039405,45.72,random_reinit,Conv-6,4
18,96.39578203277574,3.6042179672242507,42.72,random_reinit,Conv-6,4
19,96.98100641080072,3.0189935891992867,38.38,random_reinit,Conv-6,4
20,97.46951154793241,2.5304884520675897,36.37,random_reinit,Conv-6,4
