pruning_iteration,sparsity_pct,weights_remaining_pct,test_accuracy,run_type,arch,seed
0,0.0,100.0,83.17,winning_ticket,Conv-6,3
1,17.46943194361892,82.53056805638109,83.81,winning_ticket,Conv-6,3
2,31.824566244940698,68.1754337550593,83.84,winning_ticket,Conv-6,3
3,43.63125689904051,56.36874310095949,83.26,winning_ticket,Conv-6,3
4,53.350899351843985,46.64910064815601,82.25,winning_ticket,Conv-6,3
5,61.35984510769579,38.64015489230421,81.46,winning_ticket,Conv-6,3
6,67.96510146896493,32.03489853103507,79.95,winning_ticket,Conv-6,3
7,73.41777582010133,26.582224179898674,79.34,winning_ticket,Conv-6,3
8,77.92311461605955,22.076885383940446,79.3,winning_ticket,Conv-6,3
9,81.64903873368996,18.35096126631004,78.32,winning_ticket,Conv-6,3
10,84.73326363533441,15.266736364665592,77.96,winning_ticket,Conv-6,3
11,87.28851787382186,12.711482126178145,76.83,winning_ticket,Conv-6,3
12,89.40745202513374,10.592547974866266,76.73,winning_ticket,Conv-6,3
13,91.1661766578925,8.833823342107499,75.41,winning_ticket,Conv-6,3
14,92.62709270895247,7.372907291047522,73.66,winning_ticket,Conv-6,3
15,93.8417218589907,6.158278141009312,70.96,winning_ticket,Conv-6,3
16,94.85247551725114,5.147524482748861,68.61,winning_ticket,Conv-6,3
17,95.69420268319607,4.3057973168039405,65.96,winning_ticket,Conv-6,3
18,96.39582625739436,3.604173742605644,60.45,winning_ticket,Conv-6,3
19,96.98105063541932,3.01894936458068,53.2,winning_ticket,Conv-6,3
20,97.46955577255102,2.5304442274489825,48.82,winning_ticket,Conv-6,3
