pruning_iteration,sparsity_pct,weights_remaining_pct,test_accuracy,run_type,arch,seed
0,0.0,100.0,72.68,random_reinit,Conv-2,3
1,19.91033696412362,80.08966303587638,72.46,random_reinit,Conv-2,3
2,35.84756725890214,64.15243274109787,72.23,random_reinit,Conv-2,3
3,48.60541475082958,51.39458524917042,72.41,random_reinit,Conv-2,3
4,58.818965485171795,41.181034514828205,71.43,random_reinit,Conv-2,3
5,66.99635804949185,33.00364195050816,72.0,random_reinit,Conv-2,3
6,73.54414981474041,26.45585018525959,70.31,random_reinit,Conv-2,3
7,78.7876610791185,21.212338920881507,70.44,random_reinit,Conv-2,3
8,82.98727363361755,17.012726366382452,69.5,random_reinit,Conv-2,3
9,86.3512650104906,13.648734989509398,68.1,random_reinit,Conv-2,3
10,89.04629443626028,10.953705563739714,66.31,random_reinit,Conv-2,3
11,91.20579624421529,8.79420375578471,64.63,random_reinit,Conv-2,3
12,92.93653650134667,7.063463498653334,61.69,random_reinit,Conv-2,3
13,94.32393736142731,5.676062638572683,60.14,random_reinit,Conv-2,3
14,95.43640164873592,4.56359835126408,58.13,random_reinit,Conv-2,3
15,96.32866092287546,3.671339077124533,55.48,random_reinit,Conv-2,3
16,97.04451903188846,2.9554809681115426,53.46,random_reinit,Conv-2,3
17,97.619037654569,2.3809623454310076,49.54,random_reinit,Conv-2,3
18,98.08032658512269,1.9196734148773118,46.46,random_reinit,Conv-2,3
19,98.45084575837389,1.549154241626118,44.73,random_reinit,Conv-2,3
20,98.7485910227222,1.2514089772778,41.91,random_reinit,Conv-2,3
