pruning_iteration,sparsity_pct,weights_remaining_pct,test_accuracy,run_type,arch,seed
0,0.0,100.0,76.94,winning_ticket,Conv-4,2
1,18.9288848275316,81.0711151724684,77.66,winning_ticket,Conv-4,2
2,34.17912564989047,65.82087435010952,77.56,winning_ticket,Conv-4,2
3,46.47570498271357,53.52429501728643,78.42,winning_ticket,Conv-4,2
4,56.39973047689425,43.60026952310575,78.82,winning_ticket,Conv-4,2
5,64.41717690216674,35.58282309783326,79.06,winning_ticket,Conv-4,2
6,70.90131891478187,29.098681085218125,79.09,winning_ticket,Conv-4,2
7,76.15186488875987,23.848135111240136,79.2,winning_ticket,Conv-4,2
8,80.40930728932992,19.59069271067008,79.16,winning_ticket,Conv-4,2
9,83.86651018711568,16.133489812884328,78.86,winning_ticket,Conv-4,2
10,86.67835864717215,13.321641352827848,78.73,winning_ticket,Conv-4,2
11,88.96934628275844,11.030653717241561,78.45,winning_ticket,Conv-4,2
12,90.8394721041936,9.160527895806393,78.35,winning_ticket,Conv-4,2
13,92.36918892349107,7.630811076508934,78.23,winning_ticket,Conv-4,2
14,93.62319713124488,6.376802868755113,78.09,winning_ticket,Conv-4,2
15,94.65370239634741,5.346297603652583,78.42,winning_ticket,Conv-4,2
16,95.50255997466417,4.497440025335832,77.58,winning_ticket,Conv-4,2
17,96.2037076746457,3.7962923253543055,77.6,winning_ticket,Conv-4,2
18,96.78452666860204,3.2154733313979578,77.47,winning_ticket,Conv-4,2
19,97.26699612045077,2.733003879549233,76.72,winning_ticket,Conv-4,2
20,97.6690127602861,2.330987239713916,75.34,winning_ticket,Conv-4,2
