pruning_iteration,sparsity_pct,weights_remaining_pct,test_accuracy,run_type,arch,seed
0,0.0,100.0,80.8,winning_ticket,Conv-6,3
1,17.46943194361892,82.53056805638109,81.94,winning_ticket,Conv-6,3
2,31.824566244940698,68.1754337550593,82.9,winning_ticket,Conv-6,3
3,43.63125689904051,56.36874310095949,82.68,winning_ticket,Conv-6,3
4,53.350899351843985,46.64910064815601,82.56,winning_ticket,Conv-6,3
5,61.35984510769579,38.64015489230421,81.86,winning_ticket,Conv-6,3
6,67.96510146896493,32.03489853103507,81.95,winning_ticket,Conv-6,3
7,73.41777582010133,26.582224179898674,81.1,winning_ticket,Conv-6,3
8,77.92311461605955,22.076885383940446,81.13,winning_ticket,Conv-6,3
9,81.64903873368996,18.35096126631004,80.79,winning_ticket,Conv-6,3
10,84.73326363533441,15.266736364665592,79.95,winning_ticket,Conv-6,3
11,87.28856209844047,12.711437901559536,78.18,winning_ticket,Conv-6,3
12,89.40749624975234,10.592503750247657,76.27,winning_ticket,Conv-6,3
13,91.16622088251111,8.833779117488891,75.66,winning_ticket,Conv-6,3
14,92.62713693357108,7.372863066428915,74.3,winning_ticket,Conv-6,3
15,93.84176608360929,6.158233916390705,73.36,winning_ticket,Conv-6,3
16,94.85251974186974,5.147480258130254,71.75,winning_ticket,Conv-6,3
17,95.69424690781466,4.305753092185333,71.31,winning_ticket,Conv-6,3
18,96.39582625739436,3.604173742605644,70.46,winning_ticket,Conv-6,3
19,96.98105063541932,3.01894936458068,68.98,winning_ticket,Conv-6,3
20,97.46955577255102,2.5304442274489825,63.27,winning_ticket,Conv-6,3
