pruning_iteration,sparsity_pct,weights_remaining_pct,test_accuracy,run_type,arch,seed
0,0.0,100.0,72.22,winning_ticket,Conv-2,4
1,19.9103137136735,80.0896862863265,72.15,winning_ticket,Conv-2,4
2,35.847544008452005,64.152455991548,72.31,winning_ticket,Conv-2,4
3,48.60539150037945,51.39460849962055,71.4,winning_ticket,Conv-2,4
4,58.81894223472166,41.18105776527833,71.28,winning_ticket,Conv-2,4
5,66.99638129994196,33.003618700058034,70.33,winning_ticket,Conv-2,4
6,73.54417306519055,26.45582693480946,69.6,winning_ticket,Conv-2,4
7,78.78770758001875,21.212292419981253,66.06,winning_ticket,Conv-2,4
8,82.98734338496794,17.012656615032068,64.82,winning_ticket,Conv-2,4
9,86.35131151139086,13.648688488609139,65.67,winning_ticket,Conv-2,4
10,89.04636418761068,10.95363581238933,64.4,winning_ticket,Conv-2,4
11,91.2058892460158,8.794110753984196,61.18,winning_ticket,Conv-2,4
12,92.93660625269705,7.063393747302948,58.12,winning_ticket,Conv-2,4
13,94.32400711277771,5.6759928872222964,56.35,winning_ticket,Conv-2,4
14,95.43644814963618,4.563551850363822,55.97,winning_ticket,Conv-2,4
15,96.32870742377573,3.6712925762242756,55.58,winning_ticket,Conv-2,4
16,97.04454228233858,2.955457717661414,51.88,winning_ticket,Conv-2,4
17,97.61906090501911,2.380939094980879,43.88,winning_ticket,Conv-2,4
18,98.08034983557282,1.919650164427183,42.93,winning_ticket,Conv-2,4
19,98.45086900882401,1.5491309911759892,42.1,winning_ticket,Conv-2,4
20,98.74861427317234,1.2513857268276714,40.71,winning_ticket,Conv-2,4
