pruning_iteration,sparsity_pct,weights_remaining_pct,test_accuracy,run_type,arch,seed
0,0.0,100.0,79.57,winning_ticket,Conv-4,2
1,18.9288848275316,81.0711151724684,80.63,winning_ticket,Conv-4,2
2,34.17912564989047,65.82087435010952,80.57,winning_ticket,Conv-4,2
3,46.47570498271357,53.52429501728643,80.73,winning_ticket,Conv-4,2
4,56.39973047689425,43.60026952310575,80.63,winning_ticket,Conv-4,2
5,64.41713566546146,35.58286433453854,80.37,winning_ticket,Conv-4,2
6,70.9012776780766,29.09872232192341,80.48,winning_ticket,Conv-4,2
7,76.15182365205457,23.848176347945422,79.81,winning_ticket,Conv-4,2
8,80.40926605262464,19.590733947375366,79.77,winning_ticket,Conv-4,2
9,83.8664689504104,16.13353104958961,79.53,winning_ticket,Conv-4,2
10,86.67831741046686,13.321682589533134,79.01,winning_ticket,Conv-4,2
11,88.96930504605315,11.030694953946847,78.41,winning_ticket,Conv-4,2
12,90.83943086748832,9.160569132511679,78.19,winning_ticket,Conv-4,2
13,92.36918892349107,7.630811076508934,77.65,winning_ticket,Conv-4,2
14,93.62319713124488,6.376802868755113,76.57,winning_ticket,Conv-4,2
15,94.65370239634741,5.346297603652583,73.58,winning_ticket,Conv-4,2
16,95.50255997466417,4.497440025335832,72.1,winning_ticket,Conv-4,2
17,96.2037076746457,3.7962923253543055,68.56,winning_ticket,Conv-4,2
18,96.78452666860204,3.2154733313979578,64.71,winning_ticket,Conv-4,2
19,97.26699612045077,2.733003879549233,60.05,winning_ticket,Conv-4,2
20,97.6690127602861,2.330987239713916,57.16,winning_ticket,Conv-4,2
