pruning_iteration,sparsity_pct,weights_remaining_pct,test_accuracy,run_type,arch,seed
0,0.0,100.0,71.33,winning_ticket,Conv-2,3
1,19.9103137136735,80.0896862863265,71.51,winning_ticket,Conv-2,3
2,35.847544008452005,64.152455991548,71.43,winning_ticket,Conv-2,3
3,48.60539150037945,51.39460849962055,70.87,winning_ticket,Conv-2,3
4,58.81894223472166,41.18105776527833,71.83,winning_ticket,Conv-2,3
5,66.99638129994196,33.003618700058034,71.38,winning_ticket,Conv-2,3
6,73.54417306519055,26.45582693480946,71.07,winning_ticket,Conv-2,3
7,78.78768432956862,21.21231567043138,71.02,winning_ticket,Conv-2,3
8,82.98729688406767,17.01270311593232,70.91,winning_ticket,Conv-2,3
9,86.3512650104906,13.648734989509398,71.06,winning_ticket,Conv-2,3
10,89.04629443626028,10.953705563739714,70.46,winning_ticket,Conv-2,3
11,91.20579624421529,8.79420375578471,70.07,winning_ticket,Conv-2,3
12,92.93653650134667,7.063463498653334,70.18,winning_ticket,Conv-2,3
13,94.32393736142731,5.676062638572683,69.48,winning_ticket,Conv-2,3
14,95.43640164873592,4.56359835126408,69.26,winning_ticket,Conv-2,3
15,96.32866092287546,3.671339077124533,68.75,winning_ticket,Conv-2,3
16,97.04451903188846,2.9554809681115426,68.72,winning_ticket,Conv-2,3
17,97.619037654569,2.3809623454310076,67.15,winning_ticket,Conv-2,3
18,98.08032658512269,1.9196734148773118,66.98,winning_ticket,Conv-2,3
19,98.45084575837389,1.549154241626118,66.98,winning_ticket,Conv-2,3
20,98.7485910227222,1.2514089772778,66.7,winning_ticket,Conv-2,3
