iteration,val_acc,test_acc
100,92.04,92.62
200,93.2,94.08
300,94.02,94.63
400,95.7,95.66
500,95.54,96.01
600,95.82,95.96
700,96.42,96.45
800,95.56,95.71
900,96.7,96.81
1000,96.82,96.71
