iteration,val_acc,test_acc
100,87.8,88.44
200,93.1,93.63
300,95.12,95.2
400,94.88,95.39
500,95.6,95.85
600,95.5,95.48
700,96.02,96.26
800,96.86,96.64
900,95.54,95.78
1000,96.56,96.51
