iteration,val_acc,test_acc
100,89.78,90.39
200,93.8,94.15
300,94.06,93.87
400,94.7,95.32
500,95.02,95.52
600,95.52,96.1
700,95.8,96.23
800,96.64,96.59
900,95.64,95.94
1000,96.6,96.96
