iteration,val_acc,test_acc
100,91.28,91.71
200,93.52,93.59
300,93.26,93.61
400,95.02,94.95
500,95.72,95.79
600,95.96,95.92
700,95.96,96.28
800,95.78,95.97
900,96.22,96.94
1000,96.06,96.86
