iteration,val_acc,test_acc
100,91.6,91.77
200,93.32,94.01
300,93.62,94.25
400,92.38,93.41
500,94.56,95.1
600,95.36,95.38
700,95.72,95.93
800,95.66,95.49
900,96.68,96.27
1000,96.88,96.8
